lei,n_apps,n_black,n_white,penalty_pp,se,t_stat,p_value,significant
549300RBX56T2MW5HO19,42816,1819,40997,-2.1498,0.322,-6.6767,0.0,1
5493000NYUJT9UC6G261,52224,5154,47070,-12.0467,0.5082,-23.7043,0.0,1
2549003Z8R5QM0WPS603,884,25,859,0.151,0.6853,0.2204,0.825617,0
VMDPCBOQ43W3PZTYZL93,4669,49,4620,-16.5305,4.053,-4.0786,4.6e-05,1
549300CF8MP6S7MZV277,16689,1272,15417,-0.9543,0.2524,-3.7809,0.000157,1
2549004OC91L41W9XR37,5585,205,5380,-19.9358,3.5226,-5.6594,0.0,1
254900LEJ4HP6RMWD374,7782,399,7383,-6.2347,1.883,-3.3111,0.000933,1
549300OPCWU6E72WUT29,116216,10953,105263,-14.9836,0.4314,-34.7359,0.0,1
SS1TRMSN6BRNMOREEV51,321351,24143,297208,-13.9239,0.2735,-50.914,0.0,1
549300RP00N9TM7RLE66,394,19,375,-20.9049,5.7647,-3.6264,0.000326,1
549300YLA2LNEYNOLN85,2509,198,2311,-8.1569,2.9965,-2.7221,0.006532,1
549300JUZBXW5SUK5V79,728,53,675,-19.4744,5.5342,-3.5189,0.00046,1
254900YB9XQDO5W4KU33,1685,199,1486,-14.8761,3.6476,-4.0783,4.7e-05,1
549300XQVJ1XBNFA5536,435888,90134,345754,-10.6603,0.1633,-65.2997,0.0,1
254900SEH2UUXVW21S97,607,71,536,-5.137,2.2485,-2.2846,0.022683,1
549300VEIFZEX6HJVA94,301,12,289,-30.469,7.8728,-3.8702,0.000134,1
549300GXIH93QAIAWV16,102,18,84,-18.5105,12.0283,-1.5389,0.127115,0
549300B0SOOJLUT6U297,795,39,756,1.1902,1.6443,0.7238,0.469401,0
2549006G3AQ9DK986571,566,46,520,-24.4254,3.8443,-6.3537,0.0,1
549300DDJB48AVV1SO96,1883,160,1723,-9.3672,2.1518,-4.3531,1.4e-05,1
549300OBJRCHJ0G6XU24,695,27,668,-8.8556,2.6321,-3.3645,0.000809,1
54930067MGJBFNEN1P47,27003,274,26729,-6.3772,2.0049,-3.1808,0.00147,1
5493005PT09Z02WXW551,158,29,129,21.2372,7.7669,2.7343,0.006994,1
549300FW5QWKDV0UY394,1122,45,1077,0.932,4.9608,0.1879,0.851001,0
2549004CU9LAM5CYA280,2896,182,2714,-2.8503,1.6389,-1.7392,0.082106,0
549300516L2LO1P5XX92,595,19,576,-5.8043,4.3804,-1.3251,0.185665,0
549300SLOQGL2LEMSD33,882,10,872,8.3585,8.2412,1.0142,0.31075,0
549300E3VF26P7719Z56,4268,154,4114,-19.9757,3.1935,-6.2551,0.0,1
549300G5JZD1PBR8EH75,579,101,478,-16.0234,3.32,-4.8264,2e-06,1
5493006KXUHSYFT7SD10,4457,49,4408,1.9328,1.9553,0.9885,0.322963,0
5493004ZUHSMPBM5KL21,1176,28,1148,2.3106,2.2946,1.007,0.314152,0
54930076TYMG3Z3BO135,137,44,93,4.2829,7.2274,0.5926,0.554475,0
2549004IXUWDS2CYU578,458,22,436,1.1772,2.0407,0.5768,0.564342,0
5493007XQ02VMXYJYJ21,13348,295,13053,-11.6616,1.7093,-6.8224,0.0,1
549300T2FOBK6WY4B349,4025,45,3980,-22.1153,6.052,-3.6542,0.000261,1
549300MUMD1WPCSXT518,4355,34,4321,-18.3424,4.792,-3.8277,0.000131,1
549300DD6DH8XAGW3A86,1803,88,1715,-15.8449,3.6906,-4.2934,1.9e-05,1
549300FGUI1NQCS1M144,5608,227,5381,-3.621,1.3182,-2.7469,0.006035,1
549300XDZHJDR5G01Q52,1297,137,1160,-21.5212,3.0842,-6.9779,0.0,1
549300EDXX36BJ0X7583,4678,468,4210,-2.3631,0.8043,-2.9382,0.003317,1
254900HUD7SD8U5L3C11,322,19,303,-13.1417,9.1561,-1.4353,0.152192,0
254900PCEQAPPZS8KL59,879,19,860,-3.908,2.725,-1.4341,0.151896,0
549300BB8TE7SXIUJI50,2406,53,2353,-9.3942,3.8616,-2.4327,0.015059,1
549300XQ7B5FIVUNFE29,29396,2409,26987,-5.6781,0.5132,-11.0643,0.0,1
54930072OCHTUJOZQB56,33154,1088,32066,-7.2958,0.833,-8.759,0.0,1
549300S4QGNTM8G5J005,4184,175,4009,-8.7458,2.0015,-4.3696,1.3e-05,1
549300PYZVSM1PP3GI62,779,127,652,-1.426,2.0382,-0.6996,0.484382,0
549300NJVKCDJA5YC939,26419,2181,24238,-6.7579,0.5012,-13.4823,0.0,1
549300LCT0EFT83E5873,1575,40,1535,-9.824,3.3233,-2.9561,0.003162,1
5493002YXAOJOQPEGS38,1159,277,882,-7.8628,2.985,-2.6341,0.00855,1
5493007XQ4LU452LQJ67,8788,342,8446,-21.8637,1.8549,-11.7873,0.0,1
254900O723MCLR701H50,29406,2220,27186,-11.8815,0.8459,-14.0454,0.0,1
549300WW4OBT30G5DK23,3593,93,3500,-15.8199,3.0619,-5.1667,0.0,1
54930064IXFLV6MQAL59,332,22,310,-2.7456,2.9721,-0.9238,0.356291,0
549300L1DBFIJZI8LA40,15913,2782,13131,-6.3341,0.4829,-13.1156,0.0,1
254900T8NVZTD1Q8U318,316,86,230,-3.0917,5.5275,-0.5593,0.576337,0
549300Q4JBLTKDC7J303,228,58,170,-18.3062,6.5056,-2.8139,0.005334,1
549300VN9E1DEKF26E34,36169,4192,31977,-20.2961,0.7779,-26.0899,0.0,1
549300FX2QBKG7ZTBX37,1413,24,1389,-7.9576,9.5159,-0.8362,0.403162,0
QFROUN1UWUYU0DVIWD51,232405,13567,218838,-10.1684,0.2761,-36.8232,0.0,1
254900X6OAHFW6BUT219,10436,41,10395,-19.8199,6.2412,-3.1757,0.001499,1
549300DT7WZ1SOTNFJ62,15536,1007,14529,-12.7167,1.117,-11.3848,0.0,1
549300N15SIAR55G5978,122,45,77,-9.0042,4.5033,-1.9995,0.047896,1
5493008PQSMR41Y70C36,2947,212,2735,-6.9727,2.8584,-2.4393,0.014773,1
5493007MURRUYDI58M87,218,19,199,-30.852,10.0914,-3.0573,0.002521,1
5493006T76QKSBS2MS95,1374,45,1329,-12.6082,4.4861,-2.8105,0.005016,1
549300PIL90PE1ZLKI49,4439,620,3819,-2.0898,0.6967,-2.9996,0.002718,1
549300N3JBQ15RQ7AV97,17214,1295,15919,-6.4924,0.5114,-12.6954,0.0,1
549300X2FI65C4A30O27,2724,59,2665,-1.1301,3.2563,-0.347,0.728583,0
549300BIIOTBIZJPS834,603,13,590,-10.5687,8.4397,-1.2523,0.210968,0
549300MTZQME2DHKE115,656,187,469,-13.3091,3.2704,-4.0696,5.3e-05,1
549300Z0ZUTDURG4KA31,681,27,654,-5.071,4.3279,-1.1717,0.24173,0
549300CG5TM73650DH84,1378,96,1282,-0.6911,3.3814,-0.2044,0.838088,0
549300OPWL6MYY9SXF04,480,12,468,3.1706,4.5675,0.6942,0.487927,0
549300L3C3LKXG2XBS96,3377,79,3298,-9.8617,3.6022,-2.7377,0.006219,1
549300MUCZWG8XJCW607,1220,27,1193,-34.1832,7.9063,-4.3235,1.7e-05,1
549300YD9NNO7W7TSI64,2429,43,2386,-16.9479,5.2624,-3.2206,0.001296,1
5493002PPPIVY6G0AH03,255,14,241,-19.6523,9.911,-1.9829,0.048481,1
549300LG73ZJO2VYV440,690,38,652,-8.8373,6.447,-1.3708,0.170895,0
549300LXKO1O7CSK5J52,66792,3452,63340,-2.0525,0.2306,-8.9023,0.0,1
254900CCA1QSI5J1ZY32,240,16,224,6.9742,7.8716,0.886,0.376533,0
54930055Z5ZI5MLNR750,531,59,472,-17.4023,5.6104,-3.1018,0.002027,1
549300WOW2HLRVN4O324,5704,47,5657,-7.6092,4.7349,-1.607,0.108099,0
549300GJI4B01Z3NJL65,2233,84,2149,-10.733,3.2785,-3.2737,0.001078,1
549300GUS13Z72B6KD63,33540,1666,31874,-4.1162,0.4716,-8.7275,0.0,1
549300032FNX4IOT2T93,3173,14,3159,-17.2142,5.1828,-3.3214,0.000906,1
5493009YUAJW70SG7L54,2758,240,2518,-18.2953,2.8684,-6.3782,0.0,1
549300I8D8TQDQWQAO82,416,10,406,13.6754,13.6835,0.9994,0.318186,0
549300ZCR1XCLNEEI724,1668,193,1475,-7.8831,2.5994,-3.0326,0.002462,1
549300VIRTE6O2776X89,1786,54,1732,-9.6885,3.5394,-2.7373,0.006256,1
549300HQL7U3JZ4LCJ17,766,72,694,-8.3176,2.2006,-3.7797,0.000169,1
5493002RM1FZTGQ55U28,3266,234,3032,-23.7443,2.504,-9.4827,0.0,1
549300I7SKMG274G2Y20,406,68,338,-21.3866,5.494,-3.8927,0.000116,1
549300T7RPUYDIE5FH39,576,37,539,-24.7828,4.4302,-5.5941,0.0,1
5493003T62KDXQ6J4W58,611,78,533,0.4427,0.6985,0.6339,0.52641,0
549300HGDJQ37M5BE268,6021,328,5693,-4.2497,1.4284,-2.9753,0.002939,1
549300F263I3XPN55P35,1159,23,1136,0.0649,7.349,0.0088,0.992958,0
5493000OIGWIS24A1547,15683,570,15113,-5.1044,0.8699,-5.8678,0.0,1
549300029HOKG1DFPD77,144,52,92,-24.1505,6.8499,-3.5256,0.000574,1
254900CDUILFTCPB7H89,2765,105,2660,-1.2384,0.7553,-1.6395,0.101227,0
5493004NH61PL6YYNH25,5189,308,4881,-11.3577,2.3688,-4.7948,2e-06,1
254900UD8AEXTVCVAF72,702,178,524,-32.8517,3.6792,-8.9291,0.0,1
549300Z6RK4QCIMZJD44,866,34,832,-14.2352,3.3224,-4.2846,2e-05,1
549300D214S3L7KZ0515,15890,896,14994,-8.4209,1.246,-6.7586,0.0,1
549300KEN9618A3NSC95,179,34,145,-9.3451,3.9421,-2.3706,0.01886,1
549300BOXNV8VLRBDT24,19748,945,18803,-14.5205,1.3881,-10.4609,0.0,1
549300VGMMXKSX821O69,1993,391,1602,-6.3783,1.7864,-3.5704,0.000365,1
549300XHPPLC0TBRV021,2277,126,2151,-1.8372,1.1624,-1.5806,0.114113,0
549300VQUTI5IU7GXT57,54019,4503,49516,-8.3166,0.3856,-21.5657,0.0,1
1VUZZZCW0TWP6R7N3Z33,2709,38,2671,-24.8428,5.1847,-4.7916,2e-06,1
549300V315P16H3FSD37,556,82,474,-4.7526,5.6973,-0.8342,0.404539,0
549300BCHY7VFHESOE22,15256,1423,13833,-0.9334,0.2871,-3.2506,0.001154,1
549300DV2WBWN5ZEMV06,769,19,750,-1.6359,6.6639,-0.2455,0.80615,0
549300BOLK89ZL7BNX85,13202,84,13118,-21.558,3.2103,-6.7154,0.0,1
593C3GZG957YOJPS2Z63,14418,595,13823,-13.1909,1.5644,-8.4321,0.0,1
54930074FI0I2Q6G5S43,1794,342,1452,-3.8098,2.1586,-1.7649,0.077748,0
54930021DZJ9CEN11D61,18510,1678,16832,-2.383,0.3981,-5.986,0.0,1
549300ZJ3ZL66QGSGO48,7204,372,6832,-10.0741,2.3174,-4.3471,1.4e-05,1
549300FUMS21JPQM1N03,13037,51,12986,-8.7878,2.48,-3.5435,0.000396,1
549300TLGCPJTEG3WN76,14285,178,14107,-7.7331,1.7521,-4.4136,1e-05,1
549300QWWDI5EBFCNL02,2813,247,2566,-17.5477,2.1361,-8.2149,0.0,1
549300I5PXYKWZSGG235,375,10,365,-46.5867,9.4733,-4.9177,1e-06,1
549300GY97XGRF7XZO52,3393,455,2938,-17.8544,2.3853,-7.4851,0.0,1
549300YYDSCELMBQD390,189,28,161,-7.1649,9.3872,-0.7633,0.44629,0
549300C0SKCK5G4RX330,2653,19,2634,-0.9367,4.8357,-0.1937,0.84642,0
WV0OVGBTLUP1XIUJE722,27866,1150,26716,-16.5559,1.069,-15.4879,0.0,1
549300ZUZB0H1M5M3I66,614,43,571,-20.9361,7.7769,-2.6921,0.007297,1
254900TI83SWW04ZPZ29,567,19,548,-9.4697,4.8628,-1.9474,0.051987,0
549300VHITS0GXJRXV39,205,12,193,-25.2689,9.2557,-2.7301,0.006899,1
L9VVX1KT5TFTKS0MLF66,85443,6152,79291,-15.8262,0.5537,-28.5821,0.0,1
549300KLBHBLTPBU7507,1625,16,1609,-3.002,5.2815,-0.5684,0.569846,0
54930027H7CJF9GCDZ36,1873,148,1725,-21.306,3.0047,-7.0909,0.0,1
254900HD4RROQDXNWI45,1030,26,1004,-1.4296,4.8619,-0.294,0.768782,0
549300MU3SP76R81WW62,9415,411,9004,-1.3551,0.4388,-3.0881,0.00202,1
5493005H3NABV4GMAG85,2475,261,2214,0.0453,0.1323,0.342,0.732388,0
5493005ICQ3QGEIWV618,17026,2544,14482,-3.269,0.4245,-7.7015,0.0,1
549300TDVGWRELEO5F50,10495,396,10099,-9.6344,1.3823,-6.9696,0.0,1
549300L0OVX5O63S8C68,4839,184,4655,-7.4083,1.562,-4.743,2e-06,1
549300WUGYTMN4HIT493,3298,143,3155,-30.0055,3.2809,-9.1454,0.0,1
549300R7HGHP2I754087,26087,2735,23352,-6.2508,0.5499,-11.3677,0.0,1
549300XAJENHWRM32Z86,6796,231,6565,-12.827,1.749,-7.334,0.0,1
254900YN8ERRLHZ0YF62,106,23,83,1.2114,5.5752,0.2173,0.828434,0
549300KM40FP4MSQU941,87450,4109,83341,-15.3883,0.6672,-23.0649,0.0,1
549300Z77WUYJM3QG591,6825,246,6579,-25.7552,2.0889,-12.3293,0.0,1
549300Z6EE8DBBFUW487,5380,210,5170,-4.7236,1.941,-2.4337,0.01498,1
549300ZPDWAT9R7KRW05,728,73,655,0.3454,1.2001,0.2878,0.773568,0
549300STHIK6SGJQIY70,3951,530,3421,-13.0179,1.4594,-8.9202,0.0,1
549300R0QZYJMOBCNI97,1577,158,1419,-3.8082,1.8571,-2.0506,0.040471,1
X8V2II80XTQHRH7NCB19,23486,2178,21308,-17.5857,0.9987,-17.6079,0.0,1
549300RIR04Y64SF4306,3151,20,3131,-4.262,5.6393,-0.7558,0.449852,0
549300NP3DNB1K9Z8513,1202,403,799,-6.0053,2.4296,-2.4717,0.013585,1
MMO6VV34TNP4Z1T8NG83,9753,208,9545,-3.2676,2.0764,-1.5737,0.115587,0
5493005KZM1DEUYVS783,2026,30,1996,-2.4853,3.6441,-0.682,0.495325,0
549300PFJ7GCGDLB2E65,14677,2574,12103,-3.1846,0.3912,-8.1413,0.0,1
5493004KSBZEBHIMRT79,1468,74,1394,-3.8631,2.2481,-1.7184,0.085941,0
549300DD5QQUHO6PCH70,290330,49256,241074,-2.2773,0.0984,-23.1359,0.0,1
549300KW3HYVC06WS898,7946,510,7436,-4.8187,1.217,-3.9594,7.6e-05,1
549300W8MJBUGW3ZLQ95,2964,264,2700,-15.499,2.3464,-6.6054,0.0,1
549300BU5TSYOCF3Y655,8062,570,7492,-8.8388,1.1854,-7.4566,0.0,1
549300JAEP0DFO79JO70,2458,19,2439,-20.7592,6.9176,-3.0009,0.002719,1
549300GSN9VF5S618659,1208,86,1122,-4.6896,1.8359,-2.5544,0.01076,1
549300MY7KEVWMI4DF64,1866,44,1822,0.0929,0.3546,0.262,0.793357,0
5493002JNEZK52NOPC21,1887,49,1838,-17.0997,4.9086,-3.4836,0.000506,1
254900JZN2V0PWFMW808,2598,219,2379,-3.2244,1.2359,-2.609,0.009133,1
549300QSOO0QJ7R1VQ66,1637,137,1500,-8.6782,2.2827,-3.8017,0.000149,1
254900TIRELTI8ENRL83,2119,216,1903,-19.9188,2.9322,-6.7931,0.0,1
549300YD7XJM19TH5O82,16719,682,16037,-6.1399,0.8187,-7.4995,0.0,1
5493006Z74IVZXJ0XO35,6270,451,5819,-26.4859,2.0243,-13.0839,0.0,1
54930072YJBZ4YV3DY74,820,10,810,2.2239,4.9233,0.4517,0.651593,0
5493000E527OH5Y8TR73,6206,1610,4596,-15.1549,1.0526,-14.3974,0.0,1
5493006FYXPLR221TS92,492,26,466,-6.5082,5.0941,-1.2776,0.202003,0
5493002JDOI3GTNVUD76,17404,318,17086,-13.6306,1.9746,-6.9031,0.0,1
54930063578UDYE3JR69,10912,583,10329,-8.8684,1.2397,-7.1534,0.0,1
549300IOX9BEK4O4M683,302,87,215,-13.5915,3.0792,-4.414,1.4e-05,1
549300EHWBP6UP4Y8J37,1124,79,1045,-4.2469,1.7719,-2.3968,0.016701,1
549300C5YLTTVIWX4J11,1622,78,1544,-8.2434,2.4922,-3.3077,0.000961,1
5493000QYMPN362T6V61,1351,58,1293,-12.7358,2.9811,-4.2722,2.1e-05,1
549300M9RHNQ4107R694,261,61,200,-3.2335,5.491,-0.5889,0.556466,0
254900NRU0TO5WZHHH62,318,11,307,-13.8324,8.7267,-1.5851,0.113965,0
549300PTX8QF0BPQ5U19,1625,311,1314,-1.3666,1.3157,-1.0387,0.299108,0
549300SK2GVCQXPD4S58,40351,7101,33250,-10.0502,0.4834,-20.7926,0.0,1
549300K6AZER0SHGEN26,678,46,632,-0.3753,3.2446,-0.1157,0.907942,0
5493000XMEVMIQFXVW32,914,30,884,-1.6181,3.6693,-0.441,0.659332,0
5493002LW7G8E8SHWC88,3165,36,3129,-2.7461,7.9104,-0.3472,0.728497,0
2549009YMLXX9WQWPX05,512,128,384,-22.0093,4.3661,-5.041,1e-06,1
549300XV2UKEPAMX9H12,137,25,112,-5.9127,6.5681,-0.9002,0.369663,0
5493002N8SUFLD1HGF75,183,31,152,1.4546,9.6325,0.151,0.880141,0
549300A4ZI1DF2OO1B51,1691,77,1614,-8.7657,4.6002,-1.9055,0.056884,0
549300AT4QWHFZ83D635,1924,52,1872,-10.8879,5.6059,-1.9422,0.052258,0
549300GZJ5RFM7VED177,1301,108,1193,0.1755,2.2951,0.0765,0.939068,0
FU7RSW4CQQY98A2O7J66,50732,2655,48077,-17.1478,0.7952,-21.5645,0.0,1
549300ILIUB22RTQKQ27,1186,34,1152,0.058,6.2599,0.0093,0.992615,0
7DMUJTL9FFTVIAG9H788,32583,2314,30269,-21.9569,1.0045,-21.8595,0.0,1
549300H88NIQ6005M718,7381,272,7109,-16.0261,2.0396,-7.8573,0.0,1
549300OYEKEORA1GI088,12389,865,11524,-6.0614,0.7816,-7.755,0.0,1
549300B0HNWBV7RX2661,6452,480,5972,-13.5746,1.9578,-6.9337,0.0,1
254900M3DBBSBUPR5L27,1034,47,987,-25.1671,6.7405,-3.7337,0.000199,1
549300GL556PQ7WG0G08,2367,736,1631,-10.8767,2.1364,-5.0912,0.0,1
549300S347HTLHLOC775,2642,154,2488,-15.272,3.6939,-4.1344,3.7e-05,1
01KWVG908KE7RKPTNP46,14153,662,13491,-9.7058,1.229,-7.8973,0.0,1
5493003H8ECZKN77IZ88,5348,81,5267,-15.8559,2.7699,-5.7244,0.0,1
549300YDBNK66R6ZES34,10140,959,9181,-26.7216,1.314,-20.3364,0.0,1
549300KUYF5QOROM7N37,33089,2494,30595,-18.7338,0.7594,-24.6686,0.0,1
549300E0WPRCJMXMUM09,2041,113,1928,-13.2737,4.4135,-3.0075,0.002666,1
254900L8E0QUT5VH5G34,99,76,23,-2.0539,2.5494,-0.8056,0.422503,0
54930040I855W2FI0Y80,1007,157,850,-9.4997,2.1603,-4.3974,1.2e-05,1
5493000XYE7QL54NMB52,10578,156,10422,-11.752,2.3604,-4.9789,1e-06,1
549300EHC6INE5XY6I44,697,71,626,-2.3547,5.9887,-0.3932,0.694294,0
5493002EOK9UP4QZ5N22,282,134,148,-2.1627,1.2427,-1.7403,0.082913,0
5493001M37Q8TJKTP708,4536,94,4442,-1.2095,1.748,-0.6919,0.48902,0
549300S99IK3EU11AS13,11679,1010,10669,-17.2847,1.1006,-15.7052,0.0,1
5493007ILDVYNFLDXQ42,418,34,384,-7.6995,4.8114,-1.6002,0.11031,0
549300CEKZ808Q0WJL95,4729,361,4368,3.1387,2.5724,1.2202,0.222467,0
549300BUIG4G67S5O712,1427,16,1411,-16.7774,8.8583,-1.894,0.058431,0
549300DI1T4KP9NPFQ75,975,17,958,-10.2112,10.2274,-0.9984,0.318328,0
549300Z1CDO1XR2ZMQ19,1700,21,1679,-39.6768,10.3862,-3.8201,0.000138,1
549300NC4WJQGK642G48,949,76,873,-0.6489,1.6832,-0.3855,0.699924,0
549300IWE0Y507LPF493,31721,2038,29683,-2.928,0.3625,-8.0776,0.0,1
549300ZJK68X6PQU2308,5140,871,4269,-9.4324,1.2495,-7.549,0.0,1
5493001XNU40KOITE062,261,31,230,-8.5735,5.3482,-1.6031,0.110161,0
5493001D5DXR1S70P689,595,49,546,-9.5588,3.077,-3.1065,0.001984,1
54930038EHCQQEFKUW36,473,70,403,-12.8474,4.0473,-3.1743,0.001601,1
549300TWLXP5O4IHG211,394,63,331,-11.8419,6.1488,-1.9259,0.054848,0
549300G2LV8W3C1G3762,29867,2092,27775,-8.1846,0.5244,-15.6079,0.0,1
5493004NMXQUYEFD1Y98,4308,325,3983,-1.3313,0.4222,-3.1535,0.001624,1
5493007WNCT2YQ8O4H14,1203,157,1046,-14.284,3.8696,-3.6913,0.000233,1
549300IL6X4MHW0HHI39,511,148,363,-3.9667,1.7305,-2.2923,0.022298,1
254900KD58MIT0K3NP70,678,153,525,-4.0348,3.3033,-1.2214,0.222348,0
549300Z7FK8G2S8WGC14,818,10,808,1.3824,4.2837,0.3227,0.747001,0
54930024L8BYJXUEP897,2463,88,2375,-0.2765,1.4683,-0.1883,0.850667,0
549300E3A68XVBMBX690,4600,492,4108,-6.9311,1.2209,-5.6768,0.0,1
549300C232ZWY1I57C16,8793,1228,7565,-14.3264,1.37,-10.4572,0.0,1
549300GV8F4RLYWAB272,877,25,852,-6.916,5.5111,-1.2549,0.209841,0
2549000VVDQ9NNW01Q23,2919,150,2769,-11.3733,1.9791,-5.7466,0.0,1
549300WLIZIEVZY2IG91,3542,192,3350,0.2427,0.6347,0.3823,0.702237,0
549300RMEQJVNY2YH756,740,34,706,-0.9812,3.452,-0.2843,0.776296,0
549300KQHWNSVCE2MY88,7018,473,6545,-6.3701,1.0209,-6.2398,0.0,1
5493001ZUNE2DKEA4702,5775,1135,4640,-20.1574,1.6081,-12.5349,0.0,1
549300ZX2TCCVHMJN581,889,51,838,-37.9005,4.8013,-7.8937,0.0,1
549300YEC4OVVYQB2849,2234,92,2142,-6.8118,2.3413,-2.9094,0.003657,1
549300NB6LOZ96BDSU42,2528,37,2491,-7.2224,3.9405,-1.8329,0.066936,0
254900AX110CHF6FVV28,13315,845,12470,-2.3266,1.1055,-2.1045,0.035351,1
254900PE3F2ADLAJRQ97,986,78,908,-1.2882,3.6393,-0.354,0.723444,0
54930077D8KXQADF5Q23,24366,1073,23293,-2.9418,0.5267,-5.5855,0.0,1
54930007KK7ZS3IJVC25,2589,34,2555,-14.9319,3.9381,-3.7917,0.000153,1
549300E2UX99HKDBR481,276678,37337,239341,-7.7129,0.1739,-44.3572,0.0,1
549300XSS1CPK8G7B851,4748,396,4352,-5.642,0.9734,-5.7964,0.0,1
254900RO87UFWPI72M63,1310,26,1284,-0.2816,6.0864,-0.0463,0.9631,0
549300IEP77RKJ87Z176,12350,144,12206,-18.0139,3.5397,-5.0892,0.0,1
549300SJPU5FBHX6JQ61,461,39,422,-2.3717,2.7628,-0.8584,0.391109,0
549300GL7DLQR39MW179,251,11,240,8.3122,7.9788,1.0418,0.298536,0
549300DSPT6YGS1ZLR56,290,36,254,-8.2636,7.5487,-1.0947,0.274573,0
549300WMQ4WI6QXK7803,2456,813,1643,-17.5288,1.7005,-10.3077,0.0,1
549300BUVM9AXNUI6G83,323,45,278,-5.8573,1.7873,-3.2772,0.001165,1
549300DV8URIHEH3DE77,753,27,726,-16.262,6.2986,-2.5818,0.010017,1
549300L9MOPDT0NKE883,8670,341,8329,-29.0977,1.7655,-16.481,0.0,1
549300E0S1LZYZ9QNX81,8043,115,7928,-5.3918,3.2836,-1.6421,0.100618,0
4EP6JBYBTPTQ47LZOB67,3719,32,3687,-10.1641,4.6421,-2.1895,0.02862,1
549300MUEGVFZ2155D91,299,154,145,-14.8857,4.163,-3.5757,0.000408,1
549300M4E3MK3F5GQW40,934,53,881,-1.5147,0.9246,-1.6382,0.101709,0
5493000RV6UQ52SVTV40,1001,170,831,-11.442,3.1548,-3.6269,0.000301,1
549300DG3IV05V4C4E03,8836,1296,7540,-2.1147,0.3918,-5.3979,0.0,1
254900L67A0ZTJRS6614,12724,676,12048,0.575,1.4687,0.3915,0.695447,0
549300AG64NHILB7ZP05,691017,92060,598957,-11.7642,0.1384,-85.0082,0.0,1
549300FL5GANFX0HMU45,2305,101,2204,-4.0491,2.1954,-1.8444,0.065257,0
549300GJXNFP6TD1QN94,150,12,138,1.9227,10.5777,0.1818,0.856022,0
HUX2X73FUCYHUVH1BK78,143724,6695,137029,-21.2477,0.5323,-39.9168,0.0,1
RVDPPPGHCGZ40J4VQ731,366606,48631,317975,-11.1615,0.2119,-52.6753,0.0,1
549300OPB0G5OMY0SM65,1974,108,1866,-0.4047,0.7041,-0.5748,0.565498,0
25490080ZZ98MNHU5R63,1544,25,1519,-0.5931,3.529,-0.1681,0.866557,0
549300YJQ7L8XG0WT572,2580,454,2126,-27.3818,2.155,-12.7059,0.0,1
549300767F7CDUJR8Q67,1381,32,1349,-4.0314,6.4355,-0.6264,0.531138,0
549300FOCEH0X0ZOR362,3778,360,3418,-2.5989,1.3265,-1.9592,0.050161,0
2549006SV57592TPRW11,9961,387,9574,-0.5945,0.3129,-1.9001,0.057454,0
549300ESJ15K604ZW846,1963,429,1534,-3.8854,0.7453,-5.213,0.0,1
254900JKWAH734HBIE78,5198,35,5163,-4.1072,3.7334,-1.1001,0.271328,0
5493007G2SOD8W9RK547,2704,103,2601,-14.7313,3.2277,-4.5639,5e-06,1
5493003JBN8UEVOU8O42,605,113,492,-27.5193,4.2207,-6.5201,0.0,1
549300DL0FLZ3XZV5J76,541,15,526,-14.0439,8.6276,-1.6278,0.10416,0
549300RBJCM5B02O5U05,12163,89,12074,-4.5312,1.1306,-4.0077,6.2e-05,1
549300UXY7OP0IC38293,59539,4816,54723,-1.0365,0.1635,-6.3405,0.0,1
549300KR83OL4XF00793,3735,819,2916,-1.7253,0.6165,-2.7987,0.005158,1
549300K7224BC1IAX207,31635,2767,28868,-17.9369,0.9688,-18.5144,0.0,1
54930060G4MDPWHISD89,39511,1393,38118,-2.0042,0.5033,-3.9821,6.8e-05,1
549300AI4ZHB6MX23W09,9103,343,8760,-9.2912,0.8364,-11.1084,0.0,1
2549008TT6UNYR7AXF54,21431,1110,20321,-12.5155,0.8067,-15.5142,0.0,1
254900FB4VEI37KZPQ74,465,94,371,2.1079,5.3567,0.3935,0.694135,0
254900O28OG3UMHXQY81,18267,1035,17232,-12.2812,0.8541,-14.3797,0.0,1
5493004NO7XCFVG4KD53,6342,172,6170,-7.3488,2.9121,-2.5235,0.011642,1
549300PW1OR537MRMS88,3521,133,3388,-3.2167,1.0388,-3.0966,0.001973,1
5493001VQ02LHMFEXJ21,2439,192,2247,-18.5445,3.1631,-5.8628,0.0,1
549300HLF6R48Z1V4F56,91,19,72,-10.123,3.72,-2.7212,0.007887,1
5493008S3V47SHFD8R45,464,20,444,-1.1582,3.3658,-0.3441,0.730918,0
5493008RNHC5I1E3IZ56,20033,1174,18859,-21.3129,1.2842,-16.5957,0.0,1
549300N1LBROQFJ7YJ64,60,11,49,-23.3497,12.8417,-1.8183,0.074571,0
5493000FWM3I2HHQY149,15629,756,14873,-27.0023,1.7017,-15.8677,0.0,1
54930029L79O0A2ZXF27,4071,524,3547,-26.7898,2.2545,-11.8828,0.0,1
549300NFA0VY9215VV25,2826,183,2643,-3.2903,1.3077,-2.516,0.011924,1
5493007XAKU2Q6LGXD23,11593,703,10890,-17.2787,1.1866,-14.561,0.0,1
25490089V5DJHFQMOA03,1362,18,1344,-6.9265,6.0276,-1.1491,0.250707,0
54930085BPQMVH9JFX69,18729,1727,17002,-19.0198,1.1646,-16.331,0.0,1
