lei,n_apps,n_black,n_white,penalty_pp,se,t_stat,p_value,significant
549300UP64TRM5LC7R70,108,22,86,-3.8461,3.4468,-1.1158,0.26712,0
54930054ET8KM4O1D485,10984,1074,9910,-24.5065,1.5127,-16.2001,0.0,1
984500FAD1FB7FEGTE82,409,61,348,-24.2499,6.2023,-3.9098,0.000108,1
254900HQBR2XD7IAKH63,346,39,307,-21.1223,5.1756,-4.0811,5.6e-05,1
549300V4IWDO6EFUKC70,46,10,36,7.5926,9.5133,0.7981,0.429528,0
2549008PQJ4J5Z32RI14,152,47,105,-21.1714,7.9153,-2.6747,0.008332,1
254900W601P3EA8Y5794,52,12,40,2.8433,4.9397,0.5756,0.567684,0
254900VUE5T1INQKZ414,182,27,155,0.7998,1.5644,0.5112,0.609831,0
549300NIJITDSZ8M7H32,137,13,124,-0.4735,7.2629,-0.0652,0.948117,0
254900LTYFDA8IOP9O78,1586,60,1526,-13.8154,4.6707,-2.9579,0.003143,1
5493001GCBD5XGNIC815,20805,2082,18723,-1.4582,0.5003,-2.9149,0.003562,1
549300LLESTPOVRG3X73,1521,76,1445,-26.733,3.6144,-7.3962,0.0,1
549300ULZJK0NFBI8J68,145,60,85,-6.5003,8.3703,-0.7766,0.438719,0
254900UQIE22KBNLG837,204,10,194,-25.9969,16.0418,-1.6206,0.1067,0
984500P059VACEAAFA22,1093,346,747,-10.1767,2.679,-3.7986,0.000154,1
5493000349C5XXDRQX28,1868,246,1622,-7.0253,1.8854,-3.7262,0.0002,1
5493006LCVYJR3AYGA52,327,15,312,1.1965,7.0596,0.1695,0.865522,0
549300N2GMOJ61XHEL06,376,20,356,3.1795,4.1114,0.7733,0.439815,0
549300Z78KW88BIQNR50,584,90,494,-1.3086,4.4173,-0.2963,0.767144,0
549300YMV5FVP7DXOG44,377,136,241,-14.2383,4.7025,-3.0278,0.002636,1
549300BLQQL5GPC6OJ66,1495,411,1084,-15.4249,2.5662,-6.0108,0.0,1
549300LNJJYJMOPHAH96,108,26,82,-1.0448,3.9439,-0.2649,0.791608,0
254900HEJ9F73IMPX887,750,55,695,-4.627,3.2779,-1.4116,0.158496,0
549300YBAW8FZJWPB842,242,27,215,-1.2152,5.2703,-0.2306,0.817841,0
5493000CHQ0HEHGLJ573,521,81,440,-4.8631,2.1787,-2.2321,0.026035,1
549300UXUKHRDG940238,249,40,209,-2.556,2.7984,-0.9134,0.361946,0
549300CZ48D9RNN5TA64,1234,284,950,-0.8086,1.1354,-0.7122,0.476486,0
2549008D4YD53ZKUG259,27,12,15,10.1745,9.4101,1.0812,0.291855,0
549300TN34NXD7N44O04,492,12,480,-8.5632,9.7826,-0.8754,0.381814,0
549300EHZKNMEE6UUC83,369,11,358,-14.7572,5.8325,-2.5302,0.011823,1
5493005PD34O8ZT7QT17,323,102,221,4.1637,3.5634,1.1685,0.243487,0
2549003PJRW71IW7BH70,192,13,179,8.6616,9.1189,0.9499,0.343418,0
2138005KH543RLMQHE28,143,119,24,-0.2297,9.0754,-0.0253,0.979845,0
549300MBTZED1WNWX005,204,65,139,-8.2851,2.7549,-3.0074,0.002976,1
549300217ZPIHWEYT887,451,39,412,-32.3149,5.1526,-6.2716,0.0,1
54930023BNS4HPJ4WJ61,66,17,49,-15.6428,12.511,-1.2503,0.216036,0
254900EEAW181JIGNK52,294,42,252,8.7565,7.7174,1.1346,0.257471,0
254900WMFKWPLR3B4U63,425,13,412,-4.8253,4.4901,-1.0747,0.283149,0
25490066WMF8ZMQXQB18,12980,1571,11409,-5.8756,0.982,-5.9833,0.0,1
984500D61DCEC4E2B661,738,84,654,-10.3353,4.1873,-2.4682,0.013805,1
549300HRLROF7PLJ6735,2180,240,1940,-4.3189,3.0537,-1.4143,0.157412,0
549300TZDKJ07KL8T621,231,11,220,-29.9395,14.6725,-2.0405,0.042467,1
549300BTD4RDILZY5V14,2775,64,2711,-25.0176,6.0686,-4.1225,3.9e-05,1
2549009A2MMICIE00762,121,37,84,-19.0543,8.9912,-2.1192,0.036224,1
549300N34GCCEN8EJE06,460,29,431,3.9173,5.9126,0.6625,0.507966,0
54930091IM32ECQG7562,956,13,943,-9.1285,6.4404,-1.4174,0.156704,0
549300JLXD89NGKXMS84,946,77,869,-0.8408,2.8623,-0.2937,0.76902,0
549300P5TUVYUVESV584,224,76,148,3.0317,2.553,1.1875,0.236311,0
549300NW5S24O35U1962,824,64,760,-12.2236,6.2579,-1.9533,0.051122,0
549300CKJ4DTUYAZXI11,614,49,565,0.2731,2.2382,0.122,0.902915,0
254900WT4HAMDFWH3048,446,109,337,3.1494,2.0026,1.5726,0.116523,0
54930089R5VSN6GVCK47,688,23,665,4.7239,8.0625,0.5859,0.558133,0
549300M4GZM7GG3EIV16,617,57,560,-21.7677,4.6866,-4.6447,4e-06,1
2549007LQQOUAPFNHY39,251,26,225,-9.0795,9.1446,-0.9929,0.321748,0
549300UWA74T8PF7KY34,334,28,306,1.8119,7.3171,0.2476,0.804574,0
549300MSETJUOU1OY757,92,24,68,-3.1165,6.4377,-0.4841,0.629541,0
98450087981AP406JG03,240,16,224,2.29,3.6881,0.6209,0.535255,0
5493009QYNVEZ9VDJU57,275,13,262,1.5318,2.9203,0.5245,0.600338,0
5493009KQ3D6Q5VM0B61,124,24,100,-14.5223,10.7063,-1.3564,0.177556,0
254900YPPMV9UM5FUW09,505,54,451,-3.8951,2.1329,-1.8262,0.068413,0
9845006YE04B346EC919,307,64,243,-12.639,5.1601,-2.4494,0.01488,1
984500CD6F0743B8F530,243,44,199,7.0974,5.8254,1.2184,0.224299,0
