year,observed_gap,lower_bound,point_estimate,upper_bound,max_fico_effect,pct_lower_bound
2020,14.699325696855237,10.139325696855236,10.289527987798666,14.699325696855237,4.5600000000000005,68.97816883548907
2021,13.006099858511021,8.44609985851102,9.104269900957714,13.006099858511021,4.5600000000000005,64.93952799373598
2022,14.193341366561697,9.633341366561696,9.935338956593187,14.193341366561697,4.5600000000000005,67.87225867234497
2023,15.360320088605183,10.800320088605183,10.752224062023627,15.360320088605183,4.5600000000000005,70.31311864794559
2024,14.969054262286152,10.409054262286151,10.478337983600305,14.969054262286152,4.5600000000000005,69.5371536497886
Mean,14.44562825456386,9.885628254563859,10.1119397781947,14.44562825456386,4.5600000000000005,68.32804555986084
