Permutation_Index,Delta_pp
0,0.12426248931816973
1,0.01625529380031212
2,0.13573405422664847
3,0.09309864570984623
4,0.14119534733831257
5,0.25871711313437235
6,0.2972210738192293
7,0.17762959986072047
8,0.09744313145386252
9,0.08034518111522185
10,0.2272603488241095
11,0.17878053275545477
12,0.10439458305888799
13,0.1976592923596224
14,0.06119754912646564
15,0.14975997030934213
16,0.006403591670769548
17,0.17097410621416528
18,0.13408094430636744
19,0.13868366671694238
20,0.15321247905654814
21,0.15614806170914391
22,0.03157482931559416
23,0.1301124415847809
24,0.224944345808666
25,0.07741870206663262
26,0.06260951963609207
27,0.2635699221041507
28,0.17738526782894964
29,0.15073316985794621
30,0.27948593651104775
31,0.17815951093472765
32,0.29888253645129387
33,0.14330539947881477
34,0.3940330899616447
35,-0.10019376882550103
36,-0.08269677679383133
37,0.17993009749348324
38,0.1021168623956058
39,0.1473512563883882
40,0.23491177543919572
41,0.11797196330300816
42,0.29764776434599033
43,0.11669739605498722
44,0.08441950341387541
45,0.06658164350455531
46,0.08818166581699488
47,0.12953279897156572
48,0.16867842529960367
49,0.1400633529118495
50,0.1537635703944027
51,0.2539835217957736
52,0.15284181986256318
53,0.14379608761903123
54,0.12124965215219632
55,0.08316013887473225
56,-0.023773330223623643
57,0.06305077426371772
58,0.2702348484420381
59,0.19089569448844249
60,-0.05006060525899643
61,0.07526375155547599
62,0.1481322932883624
63,0.04925356821137827
64,0.07021339859969514
65,0.03480219612622916
66,0.009851058886460075
67,0.12093605322977802
68,0.1539758370724337
69,-0.0456893095790065
70,0.07301033895946354
71,0.012206882082829284
72,0.11292953148773124
73,0.057565541551681844
74,0.17529174273503872
75,0.2629605762088006
76,0.10553281424511528
77,0.10630016592501423
78,0.08287660721334007
79,0.20237644123121384
80,0.14038781275982054
81,0.04714455309584916
82,0.1569804626098759
83,-0.04675762697887247
84,0.05328453201606824
85,0.1048029963768766
86,0.24147588295567995
87,0.07197252260096937
88,0.08265640979602676
89,0.23913621987961803
90,0.1068208133676361
91,0.12945945482338858
92,0.18173700572354365
93,0.21372200781985176
94,0.12827122749134273
95,0.17545798492336373
96,0.16939579367989563
97,0.19611905555535267
98,0.0030512328413735343
99,-0.011171789054952464
100,0.12964896404083545
101,0.23726139667988866
102,0.02259054856031239
103,0.1891102410282711
104,0.1126894942106835
105,0.1800035955368701
106,0.16430955874181088
107,0.03670026679973657
108,0.3111255400237637
109,0.10528148965450751
110,0.12272991716174228
111,0.2306451573645259
112,-0.007520277756281092
113,0.1725604522532351
114,0.22415104114808931
115,0.12793888879970486
116,0.06113913709840744
117,0.1396802016670232
118,0.005582534454936193
119,0.19151670069080357
120,0.30551637290471234
121,0.02827589234641291
122,0.22346277203024126
123,0.01071911606656973
124,0.15078239956700967
125,0.2593394535776737
126,0.17685458598288634
127,0.1665248910146527
128,0.25543488201816905
129,0.11700000951276479
130,0.17132116400446976
131,-0.013392831610039516
132,0.28723920575986356
133,0.16837676723145348
134,0.3052487490719936
135,0.12117803946308896
136,0.1083727736444445
137,0.12533944172395733
138,0.11320545896880765
139,-0.14952756514659896
140,0.27739524834615864
141,0.21702507402461163
142,0.14203024433968192
143,0.3241504550149799
144,0.13690580386465437
145,0.13310590334378947
146,0.24582433953913937
147,0.24885241390734245
148,0.11051565600189774
149,0.09742166403999726
150,0.21309366847569194
151,0.08381009725843798
152,0.10082778909623699
153,0.09548205001583226
154,0.23445963509768683
155,0.08312317179762262
156,0.016191319214928484
157,0.14458170567897893
158,0.1823833672055868
159,0.23695060767313839
160,0.14480331829453183
161,0.13037967668778866
162,0.27564339406580046
163,0.16863996466108688
164,0.060278332039503425
165,0.05354766646551903
166,0.21786289197801897
167,-0.10010782061082493
168,0.02764420388800459
169,0.2484207337309606
170,0.15094990156543608
171,-0.04018738819046939
172,0.06389109488794328
173,0.24942743560730238
174,0.09733321510914375
175,0.16122940379359993
176,0.18172041508860773
177,-0.0007256883027518916
178,0.07234368243951095
179,0.10698874370978279
180,0.07525776649091034
181,0.15868446670073083
182,0.16259083825276863
183,-0.004778108649705105
184,0.04041952558229856
185,-0.06374004774952194
186,0.19654202595356793
187,0.10284876042542299
188,0.2830378885828206
189,0.15007379143422406
190,-0.04160452384126537
191,0.22235838600934768
192,0.3175759702520109
193,0.08539499853438401
194,0.2258010349446788
195,0.052942591843285675
196,0.11813296746957958
197,0.1683388841822328
198,0.23829548912253942
199,0.20989550465756943
200,0.19052711800274905
201,0.1332854117580341
202,0.08417227924362798
203,0.25923884542685555
204,0.070700162240108
205,0.20787544402606103
206,0.051908381674556185
207,0.025412970375920333
208,0.12325390238247351
209,0.2493928338139952
210,0.11003262109646238
211,0.07888354155214869
212,0.007440361444590801
213,0.1624077790008085
214,0.17197654632597698
215,0.08518100793182201
216,-0.016281950528489665
217,0.10820306754205489
218,0.22205150291166265
219,0.19842366755776983
220,0.2583870823530525
221,0.06950144850577439
222,0.1776737732131507
223,-0.0063685029507257705
224,0.00418487111477411
225,-0.05714306608509186
226,-0.10563014701142678
227,0.1375734404407653
228,0.030335020029705582
229,0.11304944276164813
230,0.04044504224728113
231,0.10184961596580844
232,-0.012450523887557775
233,0.1630419084662854
234,0.16217703230728286
235,-0.008637722622236756
236,0.06517305882305822
237,0.12209333309717765
238,0.04620264886434581
239,0.1576677232451088
240,-0.08107518908753207
241,-0.04123286355211157
242,0.1506072342085685
243,0.06501582151865722
244,-0.05894627570193879
245,0.33666444902443166
246,0.12429429466400453
247,0.18805061702499318
248,0.07661836057557933
249,0.16158454138600958
250,0.2607543776743633
251,0.030699951385680917
252,0.14374033411771353
253,0.20728211373008104
254,0.20675506159610796
255,0.15565464346130364
256,0.03723534373061732
257,0.23898751733728799
258,0.030409841979218196
259,0.2316226500801712
260,0.09875168332456226
261,0.019442844981452847
262,0.16716297849245082
263,-0.017475491677443247
264,0.021832729539971417
265,0.16366903604792235
266,0.14475296817147107
267,0.10832975279420169
268,0.024753340161321
269,0.26699064311428927
270,0.055072696073645094
271,0.13607731383367544
272,-0.09263761415504546
273,0.37155894063535505
274,0.2033563358246104
275,-0.036159272316918685
276,0.23089437522044523
277,0.09160811940696831
278,0.13435525135017043
279,0.12654378594915244
280,0.00851793113320256
281,-0.0936531985717465
282,0.36478234730859865
283,0.18465540887842138
284,0.14742120506095077
