Region,Gap_pp,SE,CI_L,CI_U,States
Northeast,14.81752056287825,0.19450735677390676,14.436286143601393,15.198754982155108,9
Midwest,16.09188960885588,0.16869568961339276,15.76124605721363,16.42253316049813,12
South,14.0965669066204,0.0880618574299623,13.923965666057674,14.269168147183125,17
West,9.287065492780567,0.19241973607131538,8.909922810080788,9.664208175480345,13
