Year,Overlap_Min,Overlap_Max,Overlap_Range,Pct_Overall_On_Support,Pct_Black_On_Support,Pct_White_On_Support,PS_Black_Mean,PS_White_Mean,PS_Black_Std,PS_White_Std,KS_Statistic,KS_P_Value
2020,0.0,0.9817195439285096,0.9817195439285096,99.99959980270273,100.0,99.99956727518594,0.08698187457467497,0.07422130447668708,0.020827604492523175,0.025234480381227654,0.24062919214312622,0.0
2021,3.031634412613486e-26,0.30697206522709813,0.30697206522709813,99.99319708154798,100.0,99.99251467344162,0.1064252714704153,0.08973058210779752,0.02863610544480002,0.0344168497064673,0.22007478466083719,0.0
2022,8.746911524367519e-238,0.18537546723567397,0.18537546723567397,99.9990994894105,100.0,99.9989826209042,0.12575128014349685,0.11344118159768884,0.025001170252604732,0.03241621432853822,0.17810172579476335,0.0
2023,1.1644702016904832e-196,0.8276489404633919,0.8276489404633919,99.99869896958391,100.0,99.99851353483703,0.13366490250187238,0.12357419257666655,0.022835642056449165,0.02917340005634338,0.16044525198364895,0.0
2024,0.0,0.20701453548023985,0.20701453548023985,99.99809822564453,100.0,99.99783372839288,0.12897767220629947,0.12113878041733572,0.01817189326538622,0.02392663271128689,0.14319996911274385,0.0
Mean,6.063268825226972e-27,0.5017461104669827,0.5017461104669827,99.99773871377793,100.0,99.99748236655233,0.11636020017935178,0.10442120823523515,0.023094483102352664,0.02903351543677269,0.18849018473902396,0.0
