spec,year,n_obs,n_lenders,penalty_pp,se,tstat
Main,2024,5579046.0,2150.0,-11.77901870130223,0.0004974746289997337,-236.77626987704198
With Rate Spread,2024,,,,,
Large Lenders,2024,5564740.0,1887.0,-11.781091818557627,0.0004982196237737111,-236.46382551781102
Diverse Lenders,2024,4817639.0,1358.0,-11.730702706240509,0.0005115710579781115,-229.30739578200354
