Year,Minimal_RawGap,Minimal_Unexplained,Minimal_PctUnexp,Baseline_RawGap,Baseline_Unexplained,Baseline_PctUnexp,Extended_RawGap,Extended_Unexplained,Extended_PctUnexp
2020,14.826133661280828,13.730107154699434,92.60746913779874,14.826133661280828,14.39525316411424,97.09377706278306,14.826133661280828,14.605718854109195,98.51333589587651
2021,13.095535014239168,11.952915037911838,91.27473619760532,13.095535014239168,12.585599147307814,96.10603257998328,13.095535014239168,12.621745381556536,96.38205211037607
2022,14.153680304725158,13.283841164458876,93.85432536599058,14.153680304725158,14.250008348082488,100.68058654204005,14.153680304725158,14.407898353049964,101.7961268225052
2023,14.93259860775954,13.916041018918134,93.1923597791401,14.93259860775954,14.755261138976717,98.8124138775774,14.93259860775954,14.89732762735697,99.76379877790166
2024,14.965957691137199,13.791968404894773,92.15560199707326,14.965957691137199,14.362126110905304,95.96529943025642,14.965957691137199,14.625638319276746,97.72604347223306
Mean,14.394781055828378,13.33497455617661,92.61689849552161,14.394781055828378,14.069649581877314,97.73162189852805,14.394781055828378,14.231665707069883,98.8362714157785
