year,mean_penalty,median_penalty,std_penalty,n,se
2020,-8.934396598255866,-6.764427914843853,8.990194532274511,1691,0.21862372283664366
2021,-8.55275761017298,-6.517295053166151,8.658532350137406,1776,0.2054578802903649
2022,-9.649210133617919,-8.337139804174036,9.146030715826273,1667,0.2240086845074441
2023,-10.52178698957753,-9.01044891385824,9.456648823442674,1506,0.24368274360015552
2024,-10.435647129943263,-8.856941088734994,9.266288221667184,1428,0.2452119894148871
