hhi_quartile,N_lenders,Mean_gap_pp,SD_gap,Median_HHI,SE,CI_L,CI_U
Q1 (least concentrated),501,9.680440474000065,8.20208290090583,169.3,0.36644203946884074,8.962214076641137,10.398666871358992
Q2,480,10.757497263884126,8.24043153392713,206.6,0.3761225195590655,10.020297125548357,11.494697402219895
Q3,472,9.33810573809696,8.163899771989573,244.8,0.37577394565797556,8.601588804607328,10.074622671586592
Q4 (most concentrated),484,10.73378257315471,8.96076548848361,388.7,0.40730752220380045,9.93545982963526,11.532105316674159
