Permutation_Index,Theta_pp
0,-0.8940547129135586
1,-0.6166764815596286
2,-1.1521945993233687
3,-0.8615971946692456
4,-1.2679445017171296
5,-0.8317227866540307
6,-0.44585456861464395
7,-0.3591083618639044
8,-0.8259729098068592
9,-0.47627080806491257
10,-0.22397514264858434
11,-0.9400655236223234
12,-0.5202033117297225
13,-0.6464763530023143
14,-0.5708453635077168
15,-0.7072725595595806
16,-0.057635682539347546
17,-1.2430586618865722
18,-0.36272390767245494
19,-0.5778453349867189
20,-0.9149750998288698
21,-0.9696186975302832
22,-0.29275925226911576
23,-0.6856341813549837
24,-0.7058360596743635
25,-0.6318585446724801
26,-1.2097563193880052
27,-0.9815290428931365
28,-0.4802606900744395
29,-0.8472224171857519
30,-0.9082337148706855
31,0.3156639771906608
32,-0.8133354256002354
33,-0.9180201912256047
34,-1.115035155901438
35,-0.8261136049218233
36,-0.23895180113363726
37,-0.6242928759316395
38,-0.7228560817412133
39,-0.41361813002272596
40,-0.17652446113041087
41,-1.1430785736668991
42,-0.9815395502799951
43,-1.0722339349991532
44,-0.8823459587456938
45,-1.1858349126461305
46,-0.6897057345914387
47,-0.8678573633501805
48,-0.9945920803244341
49,-1.297938424128662
50,-1.0081541499797573
51,-0.6327064855267455
52,-0.41929715512417887
53,-0.7437098933301135
54,-1.070722250328526
55,-0.6742171243387622
56,-0.5672703768716606
57,-0.9842802540213268
58,-1.66860927133668
59,-0.9984941888413698
60,-0.6186119258770205
61,-0.22710190502414276
62,-0.97476514743913
63,-0.7853454056517755
64,0.09710591661673568
65,-0.5568650162005689
66,-0.6464981211458688
67,-0.8915081208764689
68,-0.9470535983841198
69,-0.8721681155485979
70,-0.17979508150082035
71,-1.0665039756940922
72,-1.027714903578059
73,-1.123314606241639
74,-0.6752481898539932
75,-0.809721058725978
76,-1.2408487755263224
77,-0.5853545465260507
78,-0.6033785244329214
79,-0.46706881432234976
80,-0.6676403934229309
81,-0.607608642201846
82,-0.7589101624436676
83,-0.6604845555457739
84,-0.5509739504119477
85,-0.3200250117763038
86,-0.8369191493058706
87,0.016484177288232982
88,-0.7905167561724196
89,-1.0812901514890834
90,-0.4807660154360295
91,-0.7295311939930293
92,-0.7361561097457664
93,-1.0718687049110087
94,-0.75413572782042
95,-0.16876598828200157
96,-0.3725146811485832
97,-1.1327545338967608
98,-0.9679487048789231
99,-0.2768808236574311
100,-0.7455573943959094
101,-0.9944592515219928
102,-0.2684626801643454
103,-0.4659405514004528
104,-0.9503816398244297
105,-1.1238549121932002
106,-1.0343992482557673
107,-0.39326763617649363
108,-1.3463445721679332
109,-0.718229303381822
110,-0.2050610577816488
111,-0.7607676525349484
112,-1.3824568236854964
113,-0.6708628215066521
114,-0.5794570197577068
115,-1.0953611410334125
116,-0.7628714756634885
117,-1.4241693930286259
118,-0.7109176009509088
119,-0.7970130258112165
120,-0.5539596166176186
121,-0.9514522904880812
122,-0.6296797573384675
123,-0.820650155989083
124,-1.1767464897459956
125,-0.8658632881652516
126,-0.9459693813167189
127,-0.7057971303822055
128,-1.0211705252789125
129,-0.499568688501245
130,-0.34121270431621264
131,-0.5181506246355987
132,-1.2728548874567875
133,-0.8185077051408822
134,-1.5528019074561075
135,-0.1723754334783389
136,-0.918559202552903
137,-0.6863981681356438
138,-0.7886918303746462
139,-0.643006757341357
140,-0.8532172278682937
141,-1.1344897251497534
142,-1.0986490194912295
143,-0.23928073393018734
144,-1.3099465382117907
145,-0.554504539666134
146,-0.53659513830328
147,-0.872054637145107
148,-1.2790005390145325
149,-0.7538011164019404
