Year,Total_Gap,Within_Gap,Between_Gap,Within_Pct,Between_Pct
2020,14.6410371929098,9.7741,4.8669371929098,66.7582485531373,33.24175144686271
2021,12.926449115630145,9.3282,3.5982491156301446,72.16366936160925,27.836330638390756
2022,14.061207598017589,10.9349,3.126307598017588,77.76643594638097,22.23356405361904
2023,14.860617692752331,11.5928,3.267817692752331,78.01021626210007,21.989783737899923
2024,14.619804952608352,11.4405,3.1793049526083514,78.25343797051735,21.74656202948265
Mean,14.221823310383645,10.614099999999999,3.6077233103836432,74.59040161874898,25.409598381251016
