Subgroup,N_Total,N_Black,White_Approval,Black_Approval,Gap_pp
High Income (>$100K),504183,48214,84.65685167193384,72.85435765545277,11.802494016481068
Low Income (≤$100K),494884,73770,71.57681767882332,57.238714924766164,14.338102754057147
High LTV (>80%),377041,59153,83.27178125629152,71.08684259462748,12.184938661664034
Low LTV (≤80%),622026,62831,75.59402355171272,56.18404927503939,19.409974276673335
Large Loans (>$250K),999067,121984,78.37673287476784,63.41077518363064,14.965957691137199
