Design,True_Estimate_pp,Perm_Mean_pp,Perm_SD_pp,Perm_5th_pct,Perm_95th_pct,Exact_P_value,N_Perms
RDD (θ),-1.8796,-0.7627,0.3245,-1.2911,-0.2302,0.0,1000
DiD (δ),-1.0091,0.122,0.1066,-0.0416,0.3006,0.0,1000
