Year,Delta_pp,SE_pp,CI_L,CI_U,T_stat,P_value,Sig
2020,-0.5911,0.2058,-0.9944,-0.1877,-2.872,0.004111,**
2021,0.0,0.0,0.0,0.0,,,Base
2022,-1.6354,0.2111,-2.0492,-1.2216,-7.747,0.0,***
2023,-1.9686,0.2591,-2.4766,-1.4607,-7.597,0.0,***
2024,-1.7274,0.2946,-2.3047,-1.15,-5.864,0.0,***
