Year,Delta,SE,CI_L,CI_U,Base_Year,T_stat,P_value,Sig
2020,-0.591,0.206,-0.994,-0.188,False,-2.872,0.004111,**
2021,0.0,0.0,0.0,0.0,True,,,
2022,-1.635,0.211,-2.049,-1.222,False,-7.747,0.0,***
2023,-1.969,0.259,-2.477,-1.461,False,-7.597,0.0,***
2024,-1.727,0.295,-2.305,-1.15,False,-5.864,0.0,***
